talker_2	talker_1	phone_2	phone_1	by	score	n
s2	m2	ax	ao	b-l	0.975297157623	19350
s2	q1	ao	ax	b-l	0.0267857142857	112
s2	q1	ax	ao	b-l	1.0	90
s2	s1	ao	ax	b-l	0.565013615417	114576
s2	s1	ax	ao	b-l	0.862626262626	92070
s2	s3	ao	ax	b-l	0.323660714286	2240
s2	s3	ax	ao	b-l	0.994444444444	1800
s2	t1	ao	ax	b-l	0.369077988338	21952
s2	t1	ax	ao	b-l	0.995464852608	17640
s2	v1	ao	ax	b-l	0.663624111737	163240
s2	v1	ax	ao	b-l	0.914884696017	131175
s2	v2	ao	ax	b-l	0.482843137255	8568
s2	v2	ax	ao	b-l	0.899636891794	6885
s2	w1	ao	ax	b-l	0.508832565284	20832
s2	w1	ax	ao	b-l	0.997371565114	16740
s2	w3	ao	ax	b-l	0.448456790123	45360
s2	w3	ax	ao	b-l	0.960301783265	36450
s3	c1	ao	ax	b-l	0.703952901598	14268
s3	c1	ax	ao	b-l	0.96218110457	35670
s3	d1	ao	ax	b-l	0.72126745435	7448
s3	d1	ax	ao	b-l	0.904242749731	18620
s3	f1	ao	ax	b-l	0.616956521739	2300
s3	f1	ax	ao	b-l	0.916	5750
s3	f2	ao	ax	b-l	0.875	176
s3	f2	ax	ao	b-l	0.954545454545	440
s3	i1	ao	ax	b-l	0.6675	800
s3	i1	ax	ao	b-l	0.9255	2000
s3	j1	ao	ax	b-l	0.734126984127	1008
s3	j1	ax	ao	b-l	0.974603174603	2520
s3	m2	ao	ax	b-l	0.570930232558	1720
s3	m2	ax	ao	b-l	0.957906976744	4300
s3	q1	ao	ax	b-l	0.0	8
s3	q1	ax	ao	b-l	1.0	20
s3	s1	ao	ax	b-l	0.526392961877	8184
s3	s1	ax	ao	b-l	0.797996089932	20460
s3	s2	ao	ax	b-l	0.639484126984	10080
s3	s2	ax	ao	b-l	0.931865079365	25200
s3	t1	ao	ax	b-l	0.637117346939	1568
