"speakerpairs"	"contrasts"	"mean_score_temp"	"sp_type"	"c_type"
"c1-j1"	"t-y"	0.7413399570355	"b"	"C"
"c1-j1"	"w-y"	0.62248972505675	"b"	"C"
"c1-m2"	"aa-ah"	0.52712628351125	"b"	"V"
"c1-m2"	"aa-eh"	0.779856358094	"b"	"V"
"c1-m2"	"aa-ih"	0.8184523809525	"b"	"V"
"c1-m2"	"ae-ax"	0.50349995324025	"b"	"V"
"c1-m2"	"ae-ih"	0.49392628833	"b"	"V"
"c1-m2"	"ae-uw"	0.723581383773	"b"	"V"
"c1-m2"	"ah-ax"	0.630524096931625	"b"	"V"
"c1-m2"	"ah-ey"	0.6990349394195	"b"	"V"
"c1-m2"	"ao-ax"	0.7680620481025	"b"	"V"
"c1-m2"	"ay-ih"	0.62244675685725	"b"	"V"
"c1-m2"	"b-ch"	0.59918478260875	"b"	"C"
"c1-m2"	"b-g"	0.391304347826	"b"	"C"
"c1-m2"	"b-hh"	0.577999010921333	"b"	"C"
"c1-m2"	"b-jh"	0.75503472222225	"b"	"C"
"c1-m2"	"b-k"	0.59453914141425	"b"	"C"
"c1-m2"	"b-l"	0.64993686868675	"b"	"C"
"c1-m2"	"b-s"	0.532477458004075	"b"	"C"
"c1-m2"	"b-t"	0.7916666666665	"b"	"C"
"c1-m2"	"b-th"	0.5596227621485	"b"	"C"
"c1-m2"	"b-w"	0.564386574074	"b"	"C"
"c1-m2"	"ch-g"	0.25	"b"	"C"
"c1-m2"	"ch-hh"	0.71881853070175	"b"	"C"
"c1-m2"	"ch-s"	0.574218750000075	"b"	"C"
"c1-m2"	"ch-th"	0.5914522058823	"b"	"C"
"c1-m2"	"d-g"	0.4896079940025	"b"	"C"
"c1-m2"	"d-m"	0.49047256097575	"b"	"C"
"c1-m2"	"d-n"	0.52314747238875	"b"	"C"
"c1-m2"	"d-w"	0.805099375131375	"b"	"C"
"c1-m2"	"dh-g"	0.54998825187975	"b"	"C"
"c1-m2"	"dh-hh"	0.51592948451025	"b"	"C"
"c1-m2"	"dh-k"	0.68383250452075	"b"	"C"
"c1-m2"	"dh-l"	0.5500420746635	"b"	"C"
"c1-m2"	"dh-t"	0.575801743861917	"b"	"C"
"c1-m2"	"dh-w"	0.48996449456975	"b"	"C"
"c1-m2"	"dh-y"	0.492297338875125	"b"	"C"
"c1-m2"	"eh-ih"	0.509904482461875	"b"	"V"
"c1-m2"	"er-ih"	0.666983695652	"b"	"V"
"c1-m2"	"f-g"	0.388392857143	"b"	"C"
"c1-m2"	"g-hh"	0.440789473684325	"b"	"C"
"c1-m2"	"g-l"	0.68691600913625	"b"	"C"
"c1-m2"	"g-m"	0.5897696476965	"b"	"C"
"c1-m2"	"g-n"	0.48695238584925	"b"	"C"
"c1-m2"	"g-s"	0.416666666666575	"b"	"C"
"c1-m2"	"g-t"	0.6875587406015	"b"	"C"
"c1-m2"	"g-th"	0.38235294117645	"b"	"C"
"c1-m2"	"g-w"	0.667355599647	"b"	"C"
"c1-m2"	"g-y"	0.54581207482975	"b"	"C"
"c1-m2"	"hh-jh"	0.82592592592575	"b"	"C"
"c1-m2"	"hh-k"	0.631882159628625	"b"	"C"
"c1-m2"	"hh-s"	0.611404962453537	"b"	"C"
"c1-m2"	"hh-th"	0.62906346749225	"b"	"C"
"c1-m2"	"hh-w"	0.72512345679	"b"	"C"
"c1-m2"	"hh-y"	0.55370785835575	"b"	"C"
"c1-m2"	"jh-k"	0.6795454545455	"b"	"C"
"c1-m2"	"jh-w"	0.7546666666665	"b"	"C"
"c1-m2"	"k-n"	0.84718459752325	"b"	"C"
"c1-m2"	"k-t"	0.621265699901833	"b"	"C"
"c1-m2"	"k-w"	0.73432449494925	"b"	"C"
